id,dominio,tarea,claseUX,clasePrimaria,hoy,superficieCRI9,origenDeLaUbicacion,motivo,expanded,medium,compact,rutaPuntero,rutaTactil,precision,criticidad,decisionCRI8
PER-01,Persistencia,Guardar automáticamente el trabajo,1 Global persistente,1,Invisible; su estado se ve en el chip del TopBar (SHL-21).,topbar,regla (clase 1),Global persistente: sólo lo global y frecuente tiene permanencia.,band,band,"band (identidad comprimida, acciones a iconos de 44px)",No accionable.,No accionable.,No.,esencial,Dos almacenes con papeles distintos y sin contrato explícito de cuál manda. Es la ambigüedad de persistencia más importante que queda.
PER-02,Persistencia,Trabajar sin conexión,1 Global persistente,1,Estado en el TopBar.,topbar,regla (clase 1),Global persistente: sólo lo global y frecuente tiene permanencia.,band,band,"band (identidad comprimida, acciones a iconos de 44px)",Informativo.,Informativo.,No.,esencial,"Offline no bloquea nada, pero se muestra con el mismo tono de aviso que los errores reales. ¿Es un problema o un estado normal?"
PER-03,Persistencia,Resolver un conflicto de revisión,2 Contextual a proyecto + 6 Workflow temporal,2,"Estado `conflict` en el TopBar; la resolución está en el Project Hub (ENT-09), en otra pantalla.",recovery,decisión CRI-9,D-08: el hueco de acceso más grave del mapa.,drawer invocado desde el chip de persistencia,drawer invocado,sheet invocada,No accionable desde la mesa.,Igual.,No.,esencial,"HUECO DE ACCESO nº 1 EN GRAVEDAD: el producto detecta el conflicto, salva ambas versiones y luego deja al usuario sin ruta para resolverlo sin salir de la mesa."
PER-04,Persistencia,Migrar un proyecto de una versión anterior,1 Global persistente,1,"Invisible, automático.",topbar,regla (clase 1),Global persistente: sólo lo global y frecuente tiene permanencia.,band,band,"band (identidad comprimida, acciones a iconos de 44px)",No accionable.,No accionable.,No.,esencial,Una migración silenciosa es cómoda hasta que algo cambia de sentido. ¿Debe anunciarse?
STA-01,Estados,Entender un estado vacío,Transversal,T,Dentro de cada superficie.,status,regla (clase T),Transversal: canal de estado y anuncios.,overlay,overlay,"overlay (por encima del dock, respetando safe-area)",Botón alcanzable.,Tap.,No.,esencial,"El panel de Results reserva 22-25% del viewport PARA MOSTRAR UN ESTADO VACÍO cuando no se ha analizado. El estado es bueno; el coste de mostrarlo permanentemente, no."
STA-02,Estados,Entender un estado de carga,Transversal,T,En cada superficie que carga.,status,regla (clase T),Transversal: canal de estado y anuncios.,overlay,overlay,"overlay (por encima del dock, respetando safe-area)",No accionable.,Igual.,No.,esencial,"El `StatusStrip` con seis tonos existe y NO lo consumen todas las superficies. Es el mismo problema que F-04: patrón hecho, no conectado."
STA-03,Estados,Entender un análisis obsoleto (stale),Transversal / 2 Contextual a análisis,T,Chip del TopBar + estado de Results.,status,regla (clase T),Transversal: canal de estado y anuncios.,overlay,overlay,"overlay (por encima del dock, respetando safe-area)",No accionable directamente.,Igual.,No.,esencial,"Con el análisis obsoleto, el overlay de resultados del lienzo sigue dibujado. No se verificó si se atenúa o se retira."
STA-04,Estados,Entender un análisis fallido,Transversal / 2 Contextual a análisis,T,Cuerpo de Results + chip del TopBar.,status,regla (clase T),Transversal: canal de estado y anuncios.,overlay,overlay,"overlay (por encima del dock, respetando safe-area)",Botón alcanzable.,Tap.,No.,esencial,"INCOHERENCIA MENOR VERIFICADA: `resultTab` puede valer `""issues""`, pero la lista de pestañas de `ResultsPanel` no incluye esa pestaña, así que `activeTab` cae silenciosamente a `summary` (`ResultsPanel.tsx:179`). Funcionalmente no se pierde nada (el cuerpo muestra el fallo igualmente), pero `aria-selected` queda en una pestaña que no es el estado real."
STA-05,Estados,Entender un control deshabilitado,Transversal,T,Disperso por superficie.,status,regla (clase T),Transversal: canal de estado y anuncios.,overlay,overlay,"overlay (por encima del dock, respetando safe-area)","Cuando se explica, por `aria-live`.","Cuando se explica por `title` (RES-06), NO llega al táctil.",No.,esencial,"Regla pendiente: todo control deshabilitado debe poder decir por qué, y por una ruta que exista en táctil (no `title`)."
STA-06,Estados,Trabajar con movimiento reducido / alto contraste,Transversal,T,Automático.,status,regla (clase T),Transversal: canal de estado y anuncios.,overlay,overlay,"overlay (por encima del dock, respetando safe-area)",No accionable.,Igual.,No.,esencial,Cualquier animación nueva debe respetar el mismo contrato.
AUL-01,Aula,Seguir el recorrido guiado de un ejercicio,6 Workflow temporal + 2 Contextual a proyecto,6,"Banda sobre el lienzo, encima del canvas.",classroom,decisión CRI-9,Aula no se rediseña; sólo se declara su presentación.,inset sobre el borde superior del lienzo,inset,inset colapsable a una línea,Botón de acción por paso.,Tap; el botón respeta 44px de alto.,No.,contextual,FUERA DE ALCANCE DISEÑAR AULA vNEXT. Sólo se registra: en modo Aula el lienzo pierde una banda adicional sobre un presupuesto que ya está invertido en Expanded.
AUL-02,Aula,Ver niveles pedagógicos del resultado,2 Contextual a análisis,2,Results › Entender.,dense,decisión CRI-9,Niveles pedagógicos del resultado: dato denso.,drawer inferior · dock fijable sólo si CB-1 y CB-4 lo permiten (≈≥1700px),drawer con estado `peek` al localizar,fullscreen con estado `peek` al localizar,Pestaña.,Tap.,No.,contextual,Fuera de alcance.
AUL-03,Aula,Mantener la sesión de aula,Transversal,T,Invisible.,classroom,decisión CRI-9,Sesión de aula.,inset sobre el borde superior del lienzo,inset,inset colapsable a una línea,No accionable.,No accionable.,No.,contextual,Fuera de alcance.
S3D-01,Space 3D,Trabajar en el dominio espacial experimental,9 Fullscreen (dominio separado),9,"Pantalla completa propia, con dos orígenes (Inicio o mesa).",space3d,decisión CRI-9,D-15.,fullscreen,fullscreen,fullscreen,Rail propio.,Controles bajo el mínimo táctil (CRI-7 §8).,"Sí, y peor resuelta que en 2D.",secundaria,RESTRICCIÓN PROTEGIDA: mantener 2D y Space3D separados y NO exigir paridad. Lo que sí debe decidirse es si Space3D hereda el sistema de interacción de CRI-9 o queda congelado hasta salir de experimental.
S3D-02,Space 3D,Navegar el modelo espacial por lista,9 Fullscreen (dominio separado),9,Panel dentro de la pantalla Space3D.,space3d,decisión CRI-9,D-15.,fullscreen,fullscreen,fullscreen,Tab por enlaces de 26×36.,Objetivos por debajo del mínimo.,"ES la respuesta a la precisión en 3D, y sus objetivos son demasiado pequeños.",contextual,"Confirma que «lista de objetos como ruta de precisión» es un patrón que el producto ya usó dos veces (paleta 2D, ModelNav 3D) sin declararlo."
