"ID","Dominio","Tarea de usuario","Objetivo del usuario","Implementación actual verificada","Archivos / componentes","Tests / QA / evidencia","Frecuencia esperada","Fuente de la frecuencia","Criticidad","Objeto / contexto del que depende","Precondiciones","Dónde vive hoy","Rutas alternativas actuales","Findings CRI-7 relacionados","Qué funciona bien y debe conservarse","Clasificación UX","Expanded: ruta funcional propuesta","Medium: ruta funcional propuesta","Compact: ruta funcional propuesta","Mouse / keyboard path","Touch path","Necesidad de precisión especial","¿Puede ser contextual a selección?","Visibilidad persistente o disclosure","Superficie apropiada","Disabled / loading / error","Feedback esperado","Focus / Escape / Cancel / Reset","Impacto en canvas-budget","Decisión para CRI-9","Patrón para CRI-10","Unknowns / preguntas abiertas"
"MOD-06","Modelado","Colocar una carga distribuida","Aplicar una carga repartida sobre una barra.","Herramienta `distributedLoad` (tecla D). Soporta `qxStart/qxEnd/qyStart/qyEnd`, sistema de coordenadas y base de longitud (visible en las referencias de Model Doctor).","src/features/canvas/toolRegistry.ts:39; src/features/model-doctor/ModelDoctor.tsx:76-82; src/types.ts","src/engine/loadIntervalRegression.test.ts; src/engine/loadAudit.test.ts","alta","inferencia","esencial","Barra.","Barra existente.","Lienzo + hoja «Cargas» + Inspector › Cargas.","Datasheet (entidad `loads`) edita magnitudes existentes; Bulk Edit las edita en masa.","F-03 (`text.distributed-symbol` y rótulos a 8-10px).","El modelo distingue coordenadas locales/globales y base de longitud proyectada/real: no simplifica la física.","4 Canvas-local + 3 Contextual a selección","Rail.","Igual.","Dock → hoja «Cargas».","D + arrastre/clic sobre la barra.","Tres toques.","Sí: el tramo se define sobre la barra.","SÍ.","persistente","canvas + sheet","Instrucción de colocación.","Símbolo distribuido con rótulos.","Escape.","—","—","Símbolo de carga distribuida legible a densidad alta.","Si el usuario controla el sistema de coordenadas desde la interfaz o sólo desde el Datasheet."
"MOD-07","Modelado","Colocar un momento","Aplicar un par en un nudo o barra.","Herramienta `moment` (tecla O). En nudos genera `mz`; en barras, `type: ""moment""`.","src/features/canvas/toolRegistry.ts:40; src/features/canvas/repeatAction.ts:26-33","src/engine/loadAudit.test.ts","media","inferencia","esencial","Nudo o barra.","Objeto existente.","Lienzo + hoja «Cargas» + Inspector › Cargas.","Igual que MOD-05.","—","El `resolveRepeatRecipe` distingue un momento puro (`|mz|>0` con `fx=fy=0`) de una carga puntual para elegir la herramienta correcta al repetir. Es un detalle fino y correcto.","4 Canvas-local + 3 Contextual a selección","Rail.","Igual.","Dock → hoja «Cargas».","O + clic.","Tres toques.","Sí.","SÍ.","persistente","canvas + sheet","Instrucción.","Símbolo de momento.","Escape.","—","—","Símbolo de momento con sentido de giro legible.","—"
"MOD-08","Modelado","Dividir una barra (Split)","Insertar un nudo intermedio conservando propiedades.","Herramienta `split` (tecla B), marcada `classroomAdvanced`. En Aula no aparece salvo que se pida «Más» o esté activa.","src/features/canvas/toolRegistry.ts:43; src/features/model-doctor/topologyRepairPreview.ts (split con conservación de releases, muelles y offsets)","src/features/model-doctor/topologyRepairPreview.test.ts; src/commands/topologyRepairCommand.test.ts","media","inferencia","esencial","Barra.","Barra existente.","Rail grupo «Editar» + hoja «Más» táctil + paleta.","Model Doctor propone divisiones automáticas con preview (DOC-05).","—","La división CONSERVA releases, muelles rotacionales y offsets rígidos, y lo declara explícitamente en el preview de reparación.","3 Contextual a selección + 4 Canvas-local","Rail.","Igual.","Hoja «Más».","B + clic en el punto.","Dos niveles + tap.","Sí: el punto de división importa.","SÍ.","persistente (oculta en Aula)","canvas + sheet","Oculta en modo Aula hasta pedir «Más».","Nudo nuevo + dos barras.","Escape.","—","El ocultamiento por modo Aula ya es un precedente de ""capacidad presente, exposición contextual"". CRI-9 puede generalizarlo.","—","—"
"MOD-09","Modelado","Borrar objetos","Quitar geometría o cargas del modelo.","Herramienta `delete` (marcada `destructive`) + teclas `Delete`/`Backspace` globales sobre la selección actual.","src/features/canvas/toolRegistry.ts:44; src/features/canvas/StructuralCanvas.tsx:1713-1716, 1199","src/features/canvas/StructuralCanvas.structuralEditing.test.tsx","alta","inferencia","esencial","Selección o clic con la herramienta.","Objeto existente.","Rail (destructiva) + tecla + hoja «Más».","Tres puertas.","—","Reversible por undo; marcada `destructive` en el registro, lo que da al design system la información para tratarla distinto.","3 Contextual a selección","Rail + tecla.","Igual.","Hoja «Más» + tecla si hay teclado.","Delete/Backspace sobre la selección. Es la ruta natural.","SIN TECLADO: hay que entrar en la hoja «Más», elegir la herramienta destructiva y tocar el objeto. Tres pasos para borrar.","Sí, y con consecuencia irreversible-en-un-paso.","SÍ, plenamente.","persistente (oculta en Aula)","canvas + sheet","Sin confirmación. Sólo undo.","El objeto desaparece. Sin toast ni anuncio de cuántos objetos se borraron.","Escape antes de confirmar; después, undo.","—","Borrar en táctil cuesta 3 pasos y no tiene deshacer accesible sin teclado (SHL-03 no tiene atajo y en Compact vive en «Más»). Es un hueco real.","Acción destructiva: cómo se marca sin volverse alarmista, y cómo se ofrece deshacer inmediato.","Si el usuario táctil encuentra el undo tras un borrado accidental."
"MOD-10","Modelado","Transformar la selección (mover, rotar, espejo, matriz, alinear, distribuir)","Reorganizar geometría existente con precisión numérica.","SEIS operaciones reales: `move`, `rotate`, `mirror` (transform|copy), `linear-array` (dirección + separación + número), `align` (6 alineaciones) y `distribute` (eje x|y). Flujo preparar → preview → aplicar, con `sourceSnapshot` que detecta si el modelo cambió bajo el preview.","src/data/structuralEditing.ts:17-36, 557-660; src/features/canvas/structuralEditUi.ts; src/features/canvas/StructuralEditOverlay.tsx; src/features/canvas/CanvasStructuralEditPreviewLayer.tsx","src/data/structuralEditing.test.ts; src/features/canvas/StructuralEditOverlay.test.tsx; scripts/qa-structural-edits.mjs (+ variante WebKit)","media","inferencia","esencial","Selección de nudos y/o barras.","`canEditSelection`: nudo, barra o multi no vacía.","Lanzador `open-structural-edit` que SÓLO aparece en el grupo «Editar» del rail cuando hay selección válida, y en la hoja «Más» táctil bajo la misma condición.","Gesto de puntero sobre el lienzo (`startStructuralEditPointer`) para el arrastre; los valores exactos, en el overlay.","—","ES EL MEJOR EJEMPLO DE CONTEXTUALIDAD YA IMPLEMENTADO: el lanzador no existe si no hay nada que transformar. Y el preview se invalida si el modelo cambia debajo.","3 Contextual a selección + 6 Workflow temporal","Rail (condicional) → overlay sobre el lienzo.","Igual.","Hoja «Más» › Editar (condicional) → overlay.","Arrastre para el gesto; campos numéricos para exactitud; Escape cancela el borrador.","Arrastre + campos. La lupa acompaña el arrastre.","Sí, y está resuelta por la doble vía gesto+número.","SÍ — ya lo es.","disclosure condicionada a selección","workflow (overlay sobre canvas)","`structuralEditCommitError`; el borrador se cancela si la selección cambia; preview obsoleto detectado por snapshot.","Preview geométrico en vivo (`createStructuralEditGeometryPreview`).","Escape cancela el borrador (`StructuralCanvas.tsx:1657-1661`).","Overlay temporal sobre el lienzo.","ESTE ES EL PATRÓN A GENERALIZAR: aparece por selección, ocupa espacio sólo mientras dura, previsualiza y se cancela con Escape.","Overlay de transformación: gesto y número en la misma superficie.","Si el usuario descubre que el lanzador aparece sólo con selección."
"MOD-11","Modelado","Entrada numérica rápida durante la colocación","Colocar con exactitud sin depender del pulso.","`quickEntry` con dos campos y `parseLocalizedDecimal` que acepta coma y punto. Estado `quickEntryError` propio.","src/features/canvas/quickEntry.ts; src/features/canvas/StructuralCanvas.tsx (setQuickEntry, quickEntryError)","src/features/canvas/quickEntry.test.ts","media","inferencia","esencial","Colocación en curso.","Herramienta de creación activa.","Sobre el lienzo, durante la colocación.","Inspector (coordenadas exactas tras crear) y Datasheet.","—","Acepta decimales con coma: es la diferencia entre usable e inusable en español. Y el error es propio del campo, no un toast.","6 Workflow temporal","Aparece durante la colocación.","Igual.","Igual.","Teclear + Enter.","Teclado en pantalla; compite con la lupa por el espacio.","ES la respuesta a la precisión: entrada exacta sin puntería.","No.","transitorio","workflow (overlay)","`quickEntryError` inline.","El punto se coloca en la coordenada tecleada.","Escape limpia campos y error.","Temporal.","Es la ruta de precisión que NO depende del método de entrada. Merece ser primera clase, no un accesorio de la colocación.","Campo numérico flotante sobre lienzo, legible en ambos temas.","Descubribilidad real."
"MOD-12","Modelado","Repetir la última operación (Repeat)","Volver a aplicar lo que se acaba de hacer sin reconfigurarlo.","`resolveRepeatRecipe` deriva del objeto SELECCIONADO una receta con su plantilla completa (miembro sin id/i/j; carga sin id/nodeId). Excluye barras `rigid`. Tecla `R` y overlay propio.","src/features/canvas/repeatAction.ts:1-40; src/features/canvas/RepeatActionOverlay.tsx; src/features/canvas/StructuralCanvas.tsx:1663-1668","src/features/canvas/repeatAction.test.ts; reports/2026-08-11-2345-topbar-repeat-contextual.md","media","inferencia","contextual","Selección de un objeto repetible (no multi, no rigid).","`repeatCandidate` no nulo.","Tecla `R` + overlay contextual sobre el lienzo.","Ninguna en menú: NO está en la paleta de comandos ni en «Más».","—","Deriva la receta del objeto real, no de un historial de acciones: repetir una barra copia su sección, material, releases y muelles.","3 Contextual a selección","Tecla + overlay.","Igual.","SÓLO overlay: sin teclado físico no hay tecla `R`. No verificado si el overlay es alcanzable por tap en Compact.","`R` sobre la selección.","UNKNOWN: no se verificó una ruta táctil independiente del teclado.","No.","SÍ — ya lo es.","disclosure condicionada a selección","workflow (overlay)","No hay `repeatCandidate` → la tecla no hace nada (silencio, no aviso).","Overlay de repetición.","Escape limpia `repeatRecipe`.","Temporal.","Función potente sin ruta de menú ni entrada en la paleta. Si el teclado falla, no existe.","Overlay de repetición contextual.","Ruta táctil de Repeat — UNKNOWN explícito."
"MOD-13","Modelado","Copiar, pegar y duplicar","Reutilizar una parte del modelo.","`Ctrl/⌘+C` → `copyModelSelection`; `Ctrl/⌘+V` → `pasteModelClipboard` con desplazamiento acumulativo (`pasteCountRef` × `gridSize`); `Ctrl/⌘+D` → borrador de duplicado con desplazamiento editable.","src/features/canvas/StructuralCanvas.tsx:1669-1692; src/features/canvas/duplicatePreview.ts","src/features/canvas/duplicatePreview.test.ts","media","inferencia","esencial","Selección.","Portapapeles interno con contenido (para pegar).","SÓLO por teclado. No hay botón, entrada de menú ni comando de paleta para copiar/pegar/duplicar.","NINGUNA.","—","El pegado se desplaza progresivamente: pegar tres veces no apila tres copias en el mismo sitio.","3 Contextual a selección + 7 Power-user","Sólo teclado.","Sólo teclado.","INEXISTENTE sin teclado físico.","Ctrl+C / Ctrl+V / Ctrl+D.","NO EXISTE. Hueco funcional real en Compact táctil.","No.","SÍ.","invisible (sólo atajo)","canvas","Pegar sin portapapeles no hace nada.","Objetos pegados quedan seleccionados.","Escape cancela el borrador de duplicado.","—","HUECO DE ACCESO CONFIRMADO: copiar/pegar/duplicar no tienen ninguna ruta táctil. La restricción ""no crear versión funcional separada para móvil"" está incumplida aquí.","Acciones de portapapeles contextual a selección.","Si `linear-array` (MOD-10) cubre en la práctica la necesidad de duplicar en táctil."
"MOD-14","Modelado","Generar una estructura completa","Crear vigas continuas, pórticos, pórticos multi-planta, armaduras o rejillas de una vez.","CINCO familias reales (`continuous-beam`, `portal-frame`, `multi-story-frame`, `truss` con topologías, `grid`), separación uniforme o por lista, apoyos base (`none|pin|roller|fixed`), propiedades por catálogo o explícitas. Tope de 2 000 entidades; aviso a partir de 400. Preview fantasma sobre el lienzo y origen elegible con el puntero.","src/data/generators/structureGenerators.ts:31-34, 380; src/data/generators/generatorTypes.ts; src/features/structure-generator/StructureGeneratorPanel.tsx; src/features/canvas/CanvasStructureGeneratorLayer.tsx; src/commands/structureGeneration.ts","src/data/generators/structureGenerators.test.ts; generatorDeterminism.test.ts; generatorValidation.test.ts; scripts/qa-structure-generator.mjs (+ WebKit)","media","inferencia","esencial","Ninguno: crea geometría, no la transforma.","Ninguna.","Botón propio en el grupo «Crear» del rail + hoja «Más» › Crear + comando de paleta.","Tres puertas, todas coherentes con «crear».","—","IDENTIDAD DE CATÁLOGO PRESERVADA: `properties: catalog | explicit` mantiene `materialId`/`sectionId` explícitos en vez de inferirlos por floats. Y hay un test de determinismo.","1 Global persistente (crear) + 6 Workflow temporal","Rail → panel con formulario + preview en el lienzo.","Igual.","Hoja «Más» › Crear → panel.","Formulario extenso + elección del origen con el puntero (`pickGeneratorOrigin` en fase de captura).","Formulario + tap para el origen.","Sí para el origen; el resto es numérico.","NO, y está bien: se documenta explícitamente que no depende de la selección para no aparecer nunca deshabilitado.","persistente","workflow (panel + canvas preview)","Errores por campo; aviso de modelo grande a partir de 400 entidades; tope duro en 2 000.","Fantasma en el lienzo antes de escribir; una sola entrada de historial al aplicar.","Cancelable.","Panel temporal.","El generador es ""crear"" y no depende de selección; la edición estructural es ""transformar"" y sí depende. El rail los mezcla en el mismo espacio permanente.","Formulario de parámetros con preview simultáneo.","Frecuencia relativa entre las cinco familias."
"MOD-15","Modelado","Medir con la herramienta de dimensión","Leer una distancia sobre el modelo.","Herramienta `dimension` (tecla C), marcada `classroomAdvanced`. `settings.showDimensions` controla su capa.","src/features/canvas/toolRegistry.ts:41; src/features/inspector/Inspector.tsx:318","src/features/canvas/toolRegistry.test.ts","baja","inferencia","secundaria","Geometría.","Herramienta activa.","Rail grupo «Inspeccionar» + hoja «Más» + paleta.","La capa `dimensions` del control de capas gobierna la visibilidad.","—","Su visibilidad es una capa, no un ajuste enterrado.","4 Canvas-local","Rail.","Igual.","Hoja «Más».","C + clics.","Dos niveles + taps.","Sí.","No.","persistente (oculta en Aula)","canvas","—","Cota dibujada.","Escape.","—","—","Cota: trazo y tipografía legibles a densidad alta.","Frecuencia real."
"MOD-16","Modelado","Hacer un corte para leer valores internos","Consultar N/V/M en una posición concreta de una barra.","Herramienta `cut` (tecla X), `classroomAdvanced`. `showCut` calcula el ratio a lo largo del eje y evalúa el diagrama en ese punto; el corte puede fijarse (`pinned`).","src/features/canvas/toolRegistry.ts:42; src/features/canvas/StructuralCanvas.tsx:1750-1766; src/engine/cut.ts","src/engine/cut.test.ts; src/engine/discontinuity.test.ts","media","inferencia","contextual","Barra + análisis correcto.","`resultsAllowed && analysis?.success`.","Rail grupo «Inspeccionar» + hoja «Más» + paleta.","`resultCursor` del panel de Results recorre el diagrama; el corte lo hace sobre el lienzo. Duplicación LEGÍTIMA: leer sobre el modelo vs leer sobre la gráfica.","—","El corte respeta discontinuidades y saltos del diagrama (`diagramJumps`), no interpola a ciegas.","3 Contextual a selección + 2 Contextual a análisis","Rail.","Igual.","Hoja «Más».","X + hover/clic sobre la barra.","Sin hover: hay que tocar. El corte fijado (`pinned`) es la respuesta táctil correcta.","Sí: la posición del corte es el dato.","SÍ.","persistente (oculta en Aula)","canvas","No hace nada sin análisis correcto — SIN decirlo. La herramienta se puede elegir igualmente.","Valor en el punto.","Escape limpia el corte.","—","Herramienta que sólo funciona tras analizar, pero que está disponible siempre y no explica su precondición. Es el caso tipo de ""disabled sin explicación"".","Marca de corte y su lectura numérica sobre el lienzo.","Si el usuario entiende por qué la herramienta «no hace nada» antes de analizar."
"SEL-01","Selección","Seleccionar un objeto","Decirle a la app sobre qué se va a actuar.","Herramienta `select` (tecla V). `Selection` es una unión discriminada: `node | member | nodalLoad | memberLoad | multi | null`. La selección es ÚNICA para todo el workspace.","src/types.ts (Selection); src/store/WorkspaceUIContext.tsx; src/features/canvas/StructuralCanvas.tsx:1228-1295","src/features/canvas/selectionVisuals.test.ts; src/store/ProjectContext.test.tsx","alta","evidencia","esencial","Geometría existente.","Ninguna.","Lienzo (clic/tap), Datasheet (fila), paleta (por ID), Model Doctor (localizar), tarjetas de Results (objeto crítico).","CINCO puertas al MISMO estado `Selection`. Es la mejor decisión de arquitectura del producto.","F-02 (áreas de acierto ampliadas bajo puntero grueso).","UNA SOLA SELECCIÓN COMPARTIDA. Lienzo, Inspector, Datasheet, Results y Model Doctor hablan del mismo objeto sin sincronización explícita.","3 Contextual a selección (es la fuente del contexto)","Clic.","Clic/tap.","Tap.","V + clic; Shift para acumular; Alt cicla candidatos solapados.","Tap; pulsación larga arma acciones adicionales (`long-press`).","SÍ — es el problema de precisión central del producto.","Es el contexto.","persistente","canvas / table / modal","Filtro de selección (`selectionFilter`) puede hacer un objeto no seleccionable SIN señal en el lienzo.","Realce visual + apertura de la hoja Inspector en Compact (`onRequestInspector`).","Los objetos SVG son paradas de tabulación con indicador de foco propio.","—","La selección única es la restricción que hace posible todo lo contextual. CRI-9 debe construir sobre ella, no romperla.","Realce de selección: contorno vs relleno, y su versión sobre diagramas.","Que `selectionFilter` esté ocultando objetos no se comunica en el lienzo."
"SEL-02","Selección","Resolver objetos solapados con puntero","Elegir cuál de varios objetos coincidentes se quería.","DOS mecanismos combinados: (a) `document.elementsFromPoint` reúne TODOS los candidatos bajo el cursor, respetando `selectionFilter`; (b) si hay más de uno, se abre un `overlapPicker` con la lista Y un `cycleIndicator` («3 de 5»). Clic repetido en el mismo punto (≤6px, ≤900ms) o `Alt` cicla al siguiente.","src/features/canvas/StructuralCanvas.tsx:1245-1283; :258 (estado overlapPicker)","src/features/canvas/canvasInteraction.test.ts","alta","evidencia","esencial","Varios objetos bajo el mismo punto.","Herramienta `select`, puntero NO táctil.","Lienzo, automático.","Paleta por ID (SHL-06); filtro de selección (SEL-06); Datasheet.","—","ESTO YA RESUELVE EL PROBLEMA QUE ONSHAPE RESUELVE CON «Select Other», y con dos afordancias a la vez: lista explícita Y ciclado. Es una fortaleza que ninguna propuesta debe perder.","4 Canvas-local + 6 Workflow temporal","Picker + indicador.","Igual.","NO SE ACTIVA. El código sale antes por la rama `pointerType === ""touch""`, que resuelve la intención pan/long-press primero. En táctil no hay picker de solapados.","Clic repetido o Alt+clic; el picker es navegable.","NO DISPONIBLE — hueco explícito y verificado en `StructuralCanvas.tsx:1241-1244`.","ES la respuesta a la precisión con puntero.","No.","transitorio","workflow (overlay sobre canvas)","El indicador desaparece a los 1100 ms.","Lista de candidatos + contador «i de n».","Escape cierra el picker.","Overlay temporal, con `clamp` para no salirse del lienzo.","HUECO DE PARIDAD: el mejor mecanismo de precisión del producto está apagado justo en el método de entrada que más lo necesita.","Picker de candidatos: cómo se lee la lista sin tapar el punto que se intenta acertar.","Si la lupa táctil compensa en la práctica la ausencia del picker."
"SEL-03","Selección","Seleccionar con marco (box select)","Coger muchos objetos de una vez.","Arrastre sobre el fondo con la herramienta `select` → interacción `selection-box`, con `additive` si se mantiene Shift.","src/features/canvas/StructuralCanvas.tsx:1319-1322; src/features/canvas/canvasInteraction.ts","src/features/canvas/canvasInteraction.test.ts","alta","inferencia","esencial","Fondo del lienzo.","Herramienta `select`, puntero NO táctil.","Lienzo.","Datasheet con rango por Shift (DAT-04). Duplicación LEGÍTIMA: espacial vs por criterio.","—","Shift acumula en vez de reemplazar: coherente con el resto del producto.","4 Canvas-local","Arrastre.","Arrastre.","NO EXISTE en táctil: un arrastre de un dedo sobre el fondo es PAN (`StructuralCanvas.tsx:1307-1311`), no marco.","Arrastre; Shift para acumular. La pista está en el rail (`selection-tip`).","NO DISPONIBLE. La ruta táctil a multiselección es el Datasheet o taps acumulativos.","No, pero sí para la multiselección.","No.","transitorio","canvas","—","Rectángulo dibujado + realce de lo capturado.","Escape cancela.","—","HUECO DE PARIDAD nº 2: seleccionar varios objetos en el lienzo táctil no tiene equivalente. La ruta de reserva (Datasheet) existe, pero es otra tarea mental.","Marco de selección: trazo y relleno.","Si taps acumulativos funcionan en táctil (no verificado si el tap acumula o reemplaza)."
"SEL-04","Selección","Multiselección acumulativa","Componer un conjunto a mano.","`Selection.multi { nodeIds, memberIds }`. Shift+clic acumula. IMPORTANTE: `multi` sólo transporta nudos y miembros — NO cargas, y está documentado así en el Datasheet.","src/types.ts; src/features/datasheet/DatasheetPanel.tsx:58-71; src/features/canvas/ToolBar.tsx:200-202","src/features/bulk-edit/bulkEditScope.test.ts; src/features/datasheet/DatasheetPanel.test.tsx","media","inferencia","esencial","Objetos existentes.","Ninguna.","Lienzo (Shift+clic, marco) + Datasheet (filas, rango).","Dos puertas legítimas.","—","La limitación de `multi` a nudos y miembros es DELIBERADA y está justificada en el código: editar varias cargas no lo necesita porque las ediciones son por celda. No se amplió el tipo por comodidad.","3 Contextual a selección","Shift+clic / marco.","Igual.","Sólo vía Datasheet (ver SEL-03).","Shift+clic; rango con Shift en el Datasheet.","Vía Datasheet.","Sí.","Es el contexto.","persistente","canvas + table","Con `multi`, el Inspector muestra Bulk Edit; el rail revela el lanzador de edición estructural.","Contador en el Inspector; resumen de selección en Bulk Edit.","Escape limpia la selección.","—","Multiselección de CARGAS no existe como estado. Si CRI-9 quiere «acciones válidas para la selección», debe saber que ese caso no se puede expresar hoy.","Resumen de selección múltiple.","Si el tap acumula en táctil."
"SEL-05","Selección","Deseleccionar","Salir del contexto actual.","Escape limpia selección, `memberStart`, entrada rápida, picker de solapados, receta de repetición y corte, y vuelve a la herramienta `select`. Clic en el fondo también deselecciona con herramientas que no sean select/pan.","src/features/canvas/StructuralCanvas.tsx:1698-1712, 1323-1327","src/features/canvas/StructuralCanvas.structuralEditing.test.tsx","alta","evidencia","esencial","Cualquier estado.","Ninguna.","Escape + clic en el fondo.","Datasheet tiene su propio `onClearSelection`.","—","ESCAPE ES UN VERDADERO «CANCELAR TODO»: limpia siete estados distintos en un solo gesto y devuelve la herramienta a select. Muy pocos editores lo hacen tan completo.","3 Contextual a selección","Escape.","Escape.","Sin teclado, sólo tap en el fondo — que además debe distinguirse de un pan.","Escape.","Tap en vacío.","No.","Sí.","invisible","canvas","—","Realce retirado.","Es el gesto de foco/cancelación.","—","Escape es el contrato de cancelación del producto. Cualquier superficie nueva debe respetarlo.","—","Equivalente táctil completo de Escape."
"SEL-06","Selección","Filtrar qué tipos son seleccionables","Trabajar en zonas densas sin coger lo que no se busca.","`settings.selectionFilter { nodes, members, loads }`, respetado tanto en el clic directo como en la reunión de candidatos solapados.","src/features/inspector/Inspector.tsx:333-337; src/features/canvas/StructuralCanvas.tsx:1229-1236, 1254-1256","src/features/canvas/canvasInteraction.test.ts","media","inferencia","contextual","Trabajo en zona densa.","Ninguna.","Inspector › Vista › sección «Precisión CAD», tras `selectionDragHelp`.","NINGUNA. No está en el lienzo, ni en la paleta, ni en las capas.","F-03 (`field-help` a 10px).","Se aplica de verdad a los dos caminos de selección, no sólo al directo.","4 Canvas-local (hoy clasificado como 8 Configuración)","Inspector › Vista, tercer nivel.","Igual.","Hoja Inspector › Vista.","Chips con `aria-pressed`.","Tap.","ES una herramienta de precisión, y vive donde nadie la busca durante la selección.","No.","disclosure profundo","panel","El estado activo del filtro NO se refleja en el lienzo: un objeto no seleccionable se ve igual.","Ninguno en el lienzo.","—","Dentro del Inspector.","FUNCIÓN DEMASIADO ESCONDIDA nº 3: una herramienta de precisión de selección enterrada en una pestaña de preferencias del Inspector, y sin realimentación en el lienzo.","Indicador de filtro activo sobre el lienzo (hoy inexistente).","Si algún usuario lo ha encontrado."
"SEL-07","Selección","Precisión táctil: ver bajo el dedo","Acertar un objeto pequeño que el propio dedo tapa.","`CanvasTouchLoupe`: lente de 104px, aumento 2,4×, que CLONA el grupo de escena real con `<use>` en vez de redibujar. Se coloca arriba o abajo del contacto según el espacio. Sólo durante colocación, arrastre de nudo, edición estructural, pulsación larga o marco.","src/features/canvas/CanvasTouchLoupe.tsx:1-70; src/features/canvas/StructuralCanvas.tsx:1391-1418","src/features/canvas/CanvasTouchLoupe.test.tsx","alta (en táctil)","evidencia","esencial","Interacción táctil en curso.","`pointerType === ""touch""` Y una interacción de colocación/seguimiento activa.","Automática sobre el lienzo.","Entrada numérica (MOD-11); snap; paleta por ID.","F-02 (la disciplina táctil como fortaleza principal).","REUTILIZA EL RENDER en lugar de duplicarlo: la lupa no puede desincronizarse del lienzo porque no tiene una segunda copia. Es una decisión de arquitectura, no de estilo, y está documentada en el propio archivo.","4 Canvas-local","No aparece (no hay `pointerType: touch`).","Aparece si el dispositivo es táctil — el disparador es el INPUT, no el ancho.","Aparece durante colocación y arrastre.","No aplica.","Automática. NO se activa durante un tap simple de selección: sólo tras armarse una interacción.","ES la respuesta táctil a la precisión, y está bien construida.","No.","transitorio","overlay sobre canvas","`aria-hidden`: la posición ya la anuncia el readout de coordenadas.","Es el feedback.","No participa del foco.","Temporal.","LA LUPA YA EXISTE Y NO CUBRE LA SELECCIÓN SIMPLE. Es donde Onshape sí llega (touch-and-hold → Precision Selector → soltar para seleccionar). CRI-9 debe decidir si se amplía o si el long-press ya lo cubre.","Lente táctil bajo Brandbook: borde, sombra y retícula.","Si el long-press (`shouldArmLongPress`) produce en la práctica una experiencia equivalente al Precision Selector."
"CNV-01","Lienzo","Encuadrar, acercar y alejar","Ver la parte del modelo que interesa al tamaño que interesa.","Tres botones de icono en el chrome (`+`, `-`, «ajustar»), rueda del ratón con `zoomCameraAt` centrado en el cursor, pinza de dos dedos, y pan con botón central / barra espaciadora / herramienta `pan`.","src/features/canvas/CanvasChrome.tsx:62-67; src/features/canvas/StructuralCanvas.tsx:1736-1748, 1203-1204, 1359-1391; src/features/canvas/canvasChromeGeometry.ts","src/features/canvas/canvasChrome.test.ts; src/features/canvas/CanvasChrome.test.tsx","alta","evidencia","esencial","Lienzo.","Ninguna.","Chrome flotante sobre el lienzo, esquina.","Comando `fit-canvas` del bus (paleta, y automático tras expandir la hoja de resultados en teléfono).","F-07 (los márgenes de encuadre son constantes escritas a mano: reservan 68px a la derecha mientras el minimapa ocupa 144px, así que tras «ajustar» el modelo puede quedar bajo el minimapa en Expanded).","`canvasChromeGeometry.ts` separa «rectángulo seguro» de viewport y lo comparte entre encuadre y colocación de rótulos. El concepto es correcto; sólo la fuente de los números es frágil.","4 Canvas-local","Tres iconos + rueda + espacio.","Igual.","Tres iconos + pinza. El chrome flotante pesa 12-14% del lienzo en teléfono apaisado.","Rueda para zoom; espacio+arrastre o botón central para pan; botón «ajustar».","Pinza para zoom; un dedo para pan (por eso no hay marco de selección).","El zoom ES una herramienta de precisión: acercarse resuelve solapamientos.","No.","persistente","canvas chrome","—","Lectura de escala («× n») en el chrome de estado.","Los botones son parada de tabulación.","El chrome flotante ocupa 17.5% del lienzo en 1024×768 frente a 6.5% en 1536×960: los mismos widgets fijos sobre un lienzo que encoge.","El chrome flotante debería escalar con el lienzo o retirarse cuando el lienzo es pequeño. Hoy hace lo contrario.","Controles de cámara: tamaño mínimo vs peso sobre el lienzo.","Si existe atajo de teclado para «ajustar» (no encontrado)."
"CNV-02","Lienzo","Orientarse con el minimapa","Saber qué parte del modelo se está viendo.","`CanvasMiniMap`, 132px, separado 12px del borde (144px totales).","src/features/canvas/CanvasMiniMap.tsx","src/features/canvas/CanvasMiniMap.test.tsx","media","inferencia","secundaria","Modelo mayor que la vista.","Ninguna.","Esquina del lienzo, siempre.","Ninguna.","F-07 (es el causante del desajuste del encuadre en el borde derecho).","Es la única orientación global cuando el modelo excede la vista.","4 Canvas-local","144px permanentes en la esquina.","Igual.","Igual — donde más caro sale.","No verificado si es navegable por teclado.","No verificado si acepta tap para desplazar la cámara.","No.","No.","persistente","canvas chrome","No se oculta cuando el modelo cabe entero en la vista.","Rectángulo de viewport.","No verificado.","Es el widget flotante más grande y el que rompe el encuadre (F-07).","¿Un minimapa permanente se justifica cuando el modelo cabe entero? Hoy ocupa lo mismo en ambos casos.","Minimapa bajo Brandbook y su relación con el rectángulo seguro.","Interactividad del minimapa (teclado y táctil) — no verificada."
